output_type,file_name,file_path,exists,file_size_kb,modified_time,paper_role,recommended_for_final_paper,description
processed_data,notebook12_study_area_boundary.gpkg,/content/drive/MyDrive/STAT596/Project596_datafiles/processed_data/notebook12_study_area_boundary.gpkg,True,160.0,2026-05-04 21:08:06,Study area boundary used to clip the 1 km grid,No,Boundary layer created from South Bay census tract geometry.
processed_data,notebook12_base_1km_grid.gpkg,/content/drive/MyDrive/STAT596/Project596_datafiles/processed_data/notebook12_base_1km_grid.gpkg,True,712.0,2026-05-04 21:09:11,Intermediate base grid,No,Initial 1 km grid clipped to the study area before removing tiny sliver cells.
processed_data,notebook12_clean_1km_grid.gpkg,/content/drive/MyDrive/STAT596/Project596_datafiles/processed_data/notebook12_clean_1km_grid.gpkg,True,700.0,2026-05-04 21:10:33,Clean raster-style grid foundation,Maybe,Clean 1 km grid used as the base spatial unit for the monitoring-priority surface.
processed_data,notebook12_monitoring_context_points.gpkg,/content/drive/MyDrive/STAT596/Project596_datafiles/processed_data/notebook12_monitoring_context_points.gpkg,True,172.0,2026-05-04 21:11:47,Monitoring station context layer,Maybe,Beach monitoring station and H2S station point layers used in grid scoring and mapping.
processed_data,notebook12_tijuana_river_geometry.gpkg,/content/drive/MyDrive/STAT596/Project596_datafiles/processed_data/notebook12_tijuana_river_geometry.gpkg,True,96.0,2026-05-04 21:41:08,Mapped Tijuana River feature,Maybe,Limited Tijuana River line feature extracted from the ArcGIS river service.
processed_data,notebook12_grid_distance_variables.gpkg,/content/drive/MyDrive/STAT596/Project596_datafiles/processed_data/notebook12_grid_distance_variables.gpkg,True,788.0,2026-05-04 21:41:09,Grid distance variables,No,"Grid cells with distance to H2S stations, beach stations, impacted beaches, top closure beaches, and mapped Tijuana River feature."
processed_data,notebook12_grid_intensity_variables.gpkg,/content/drive/MyDrive/STAT596/Project596_datafiles/processed_data/notebook12_grid_intensity_variables.gpkg,True,820.0,2026-05-04 21:42:31,Grid intensity variables,No,Grid cells with nearby monitoring intensity measures within 5 km.
processed_data,notebook12_grid_scored_unclassified.gpkg,/content/drive/MyDrive/STAT596/Project596_datafiles/processed_data/notebook12_grid_scored_unclassified.gpkg,True,864.0,2026-05-04 21:45:47,Unclassified monitoring priority score,No,Grid cells with standardized component scores and continuous monitoring-priority score.
processed_data,notebook12_monitoring_priority_grid.gpkg,/content/drive/MyDrive/STAT596/Project596_datafiles/processed_data/notebook12_monitoring_priority_grid.gpkg,True,880.0,2026-05-04 21:47:24,Final monitoring priority grid,Yes,Final classified grid layer used to create the exploratory monitoring-priority surface.
table,notebook12_initial_input_inventory.csv,/content/drive/MyDrive/STAT596/Project596_datafiles/tables/notebook12_initial_input_inventory.csv,True,1.74,2026-05-04 21:05:03,Input QA inventory,No,Documents input files available at the beginning of Notebook 12.
table,notebook12_distance_variable_summary.csv,/content/drive/MyDrive/STAT596/Project596_datafiles/tables/notebook12_distance_variable_summary.csv,True,0.6,2026-05-04 21:41:09,Distance variable QA,Maybe,Summary statistics for grid-cell distance variables.
table,notebook12_intensity_variable_summary.csv,/content/drive/MyDrive/STAT596/Project596_datafiles/tables/notebook12_intensity_variable_summary.csv,True,0.52,2026-05-04 21:42:31,Intensity variable QA,Maybe,Summary statistics for nearby monitoring-intensity variables.
table,notebook12_priority_component_summary.csv,/content/drive/MyDrive/STAT596/Project596_datafiles/tables/notebook12_priority_component_summary.csv,True,1.23,2026-05-04 21:45:47,Priority score methodology table,Yes,"Documents each standardized score component, source variable, method, weight, and nonzero-cell count."
table,notebook12_score_summary.csv,/content/drive/MyDrive/STAT596/Project596_datafiles/tables/notebook12_score_summary.csv,True,0.56,2026-05-04 21:45:48,Score summary table,Maybe,Summary statistics for each component score and the final monitoring-priority score.
table,notebook12_monitoring_priority_grid_summary.csv,/content/drive/MyDrive/STAT596/Project596_datafiles/tables/notebook12_monitoring_priority_grid_summary.csv,True,0.67,2026-05-04 21:47:24,Priority category summary table,Yes,"Summarizes grid-cell counts, area, and score ranges by priority category."
table,notebook12_top_monitoring_priority_cells.csv,/content/drive/MyDrive/STAT596/Project596_datafiles/tables/notebook12_top_monitoring_priority_cells.csv,True,7.2,2026-05-04 21:47:24,Top priority cells table,Yes,Lists the highest-scoring grid cells and the component variables contributing to their scores.
figure,figure_11_notebook12_monitoring_priority_surface_final.png,/content/drive/MyDrive/STAT596/Project596_datafiles/figures/figure_11_notebook12_monitoring_priority_surface_final.png,True,507.95,2026-05-04 22:01:04,Final monitoring priority surface map,Yes,Final paper-ready map showing the exploratory 1 km monitoring-priority surface.
